ID,소품,구간,판정,조치,근거
E01,바닥 청소 로봇,08,missing,청소 로봇 한 대를 단독 이미지로 추가. 물자국은 로봇 이미지에 합치지 않는다.,Cleaning_robot / Robot_chassis / Robot_bumper / Robot_sensor; native count 1
E02,누수 파이프·분사구,08,missing,굽은 파이프와 출구를 한 연결 물체로 제작하고 2개 배치에 재사용. 물줄기·물웅덩이는 별도 효과로 취급한다.,Leaking_pipe_0 / Leaking_pipe_1 / Fixed_water_pipe; native count 2
E03,넘어지는 소형 행사 진열대,07,partial,"빈 소형 자립 진열대를 추가하거나 S07의 형태·바닥 받침을 수정. 상품은 S14, 굴러가는 캔은 S15로 분리해 재사용한다.",Domino_display_hinge / Display_base / Display_back / Display_shelf; native count 1
E04,음료 자판기,03/04,missing,자판기 한 대의 본체만 제작해 반복 배치. 음료는 S10/S15를 사용한다.,architecture.vending + scene.py five placements of a two-machine assembly; closeup confirms pair
E05,주차장 가로등,02,missing,기둥과 등기구가 연결된 가로등 한 개를 추가. 기존 City/Lamps City/Lamp_Street_*_City.prefab도 재사용 후보다.,02_PARKING__metal__ / 02_PARKING__light__; scene.py four authored lamps
E06,원형 나무 화단 테두리,01/02/03/05/09/10,missing,나무가 없는 원형 낮은 화단 테두리를 추가. F04 나무를 독립적으로 조립하고 흙은 표면 재질로 처리한다.,"geometry.tree creates circular _bed and _soil; visible in v4 entry, parking, forecourt and hall views"
E07,매장·안내 간판판,03/04/05/06/07/08/09,missing,긴 직사각 간판판 기본형을 준비하고 크기·목재/황토색/빨강 재질을 변형. 휴게소·식당·편의점·주유소·메뉴 글자는 별도 텍스트/데칼로 넣는다.,"20 native FONT objects and sign panels including Main_identity, Dining_sign, Convenience_identity, Fuel_identity and food menus"
P01,경찰 방패,05,missing_png,방패와 인물 몸체를 분리. 기존 판타지 방패는 현대 경찰 방패로 자동 대체하지 않는다.,Defense_pool_*_shield and Route_police_*_shield; nine police actor roots
P02,경찰 진압봉,05,missing_png,검정 진압봉 한 개. 휴대 소품으로 별도 장착.,Defense_pool_*_wand / Route_police_*_wand
P03,주차 안내봉,02/09,missing_png,Blender의 주황 안내봉을 따르거나 현재 게임의 기존 정지 표지봉을 재사용. 두 형태 중 게임 기준을 먼저 정한다.,Parking_staff_wand / Route_marshal_*_wand
P04,청소 대걸레,08,missing_png,청소 인물과 분리된 도구 한 개. Blender는 막대 수준이므로 실제 대걸레 머리 형태를 보강할 필요가 있다.,Cleaner_mop / Route_cleaner_*_mop
P05,여행객 배낭,03/04,missing_png,별도 배낭 이미지 또는 기존 Backpack_Closed/Backpack_Wear 프리팹 재사용. 기존 후보의 형태·색상 적합성은 미검증.,Visitor_00_backpack through Visitor_07_backpack
P06,테이크아웃 컵 뚜껑,03/06,missing_png,S13 컵과 맞는 뚜껑 또는 기존 게임용 Cup_A_Movie 재사용. 컵을 통째로 또 생성할 필요는 없다.,Barista_lid and Route_barista_*_lid; S13 is open paper cup
O01,분리수거함·쓰레기통,03/06/07,proposal_not_native_gap,휴게 공간과 식당 가장자리의 생활감을 보강. 통 하나를 재질/라벨로 구분해 반복 사용.,Blender 원본 누락이 아닌 제안
O02,식기 반납대,06,proposal_not_native_gap,식당 기능을 더 명확히 표현. 이동 카트가 아닌 고정 반납 가구.,Blender 원본 누락이 아닌 제안
O03,젖은 바닥 접이식 안내판,08,proposal_not_native_gap,누수 구간의 예고 소품. 진행 통로를 막지 않는 가장자리에 배치.,Blender 원본 누락이 아닌 제안
O04,벽 부착 비누 디스펜서,08,proposal_not_native_gap,큰 화장실의 세면대 주변 세부 보강.,Blender 원본 누락이 아닌 제안
O05,휴지 디스펜서,08,proposal_not_native_gap,화장실 칸 내부의 기능적 세부 보강.,Blender 원본 누락이 아닌 제안
O06,소화기,04/07/09,proposal_not_native_gap,시설 가장자리의 시각적 세부 소품으로 제안. 이번 검토에서 새 폭발 기믹이나 규정 준수를 주장하지 않는다.,Blender 원본 누락이 아닌 제안
