ID,이름,분류,사용 구간,파일,상태
R01,직선 아스팔트 구간,도로,01 / 02 / 10,atomic/r01.png,complete
R02,곡선 아스팔트 구간,도로,01 / 10,atomic/r02.png,complete
R03,보도 경계석,도로,01 / 02 / 03 / 09 / 10,atomic/r03.png,complete
R04,가드레일 한 구간,도로,01 / 10,atomic/r04.png,complete
R05,초록 도로 표지판,도로,01 / 10,atomic/r05.png,complete
R06,표지판 지지 프레임,도로,01 / 10,atomic/r06.png,complete
R07,차단기 본체,도로,01 / 10,atomic/r07.png,complete
R08,차단기 봉,도로,01 / 10,atomic/r08.png,complete
R09,주차 휠스토퍼,도로,02,atomic/r09.png,complete
R10,전기차 충전기,도로,02 / 09,atomic/r10.png,complete
R11,검정·노랑 볼라드,도로,02 / 03,atomic/r11.png,complete
R12,선형 배수 그레이팅,도로,01 / 02 / 09 / 10,atomic/r12.png,complete
B01,실내 바닥 타일 모듈,구조,03 / 04 / 05 / 06 / 07 / 08,atomic/b01.png,complete
B02,석재 벽 패널,구조,03 / 04 / 05 / 06 / 07 / 08,atomic/b02.png,complete
B03,목재 슬랫 벽 패널,구조,03 / 05 / 06 / 07 / 08,atomic/b03.png,complete
B04,석재 기둥,구조,03 / 04 / 05 / 06 / 07 / 08 / 09,atomic/b04.png,complete
B05,창문 한 칸,구조,04 / 05 / 06 / 07,atomic/b05.png,complete
B06,자동문 고정 프레임,구조,04,atomic/b06.png,complete
B07,자동문 유리 문짝,구조,04,atomic/b07.png,complete
B08,짙은 지붕 패널,구조,03 / 04,atomic/b08.png,complete
B09,황토색 처마 마감재,구조,03 / 04,atomic/b09.png,complete
B10,아치 캐노피 프레임,구조,03,atomic/b10.png,complete
B11,곡면 캐노피 패널,구조,03,atomic/b11.png,complete
B12,목재 천장 패널,구조,03 / 04,atomic/b12.png,complete
F01,목재 벤치,가구·장식,03 / 05,atomic/f01.png,complete
F02,긴 석재 화분 용기,가구·장식,03 / 05 / 06 / 07,atomic/f02.png,complete
F03,관목 한 포기,가구·장식,03 / 05 / 06 / 07 / 08,atomic/f03.png,complete
F04,조경 나무 한 그루,가구·장식,03,atomic/f04-v2.png,complete
F05,벽등,가구·장식,03 / 04 / 05 / 06 / 07 / 08 / 09,atomic/f05.png,complete
F06,천장 매입등,가구·장식,03 / 04 / 09,atomic/f06.png,complete
F07,식당 테이블,가구·장식,06,atomic/f07.png,complete
F08,올리브색 의자,가구·장식,06,atomic/f08.png,complete
F09,황토색 의자,가구·장식,06,atomic/f09.png,complete
F10,테이블용 작은 화분,가구·장식,06 / 07 / 08,atomic/f10.png,complete
F11,정사각 바닥 환기구,가구·장식,05,atomic/f11.png,complete
S01,음식 판매대 본체,매장·식당 설비,03 / 05 / 06,atomic/s01.png,complete
S02,음식 유리 진열장,매장·식당 설비,03 / 05 / 06,atomic/s02.png,complete
S03,계산대 본체,매장·식당 설비,07,atomic/s03.png,complete
S04,POS 단말기,매장·식당 설비,03 / 05 / 06 / 07,atomic/s04.png,complete
S05,자동 커피 머신,매장·식당 설비,03 / 06 / 07,atomic/s05.png,complete
S06,양면 상품 진열대,매장·식당 설비,07,atomic/s06.png,complete
S07,벽면 상품 선반,매장·식당 설비,07,atomic/s07.png,complete
S08,유리문 냉장고,매장·식당 설비,07,atomic/s08.png,complete
S09,과자 봉지,상품·주방 소품,07,atomic/s09.png,complete
S10,음료 병,상품·주방 소품,07,atomic/s10.png,complete
S11,스테인리스 음식 트레이,상품·주방 소품,03 / 05 / 06,atomic/s11.png,complete
S12,빵 한 개,상품·주방 소품,03 / 05 / 06,atomic/s12.png,complete
S13,종이컵,상품·주방 소품,03 / 06 / 07,atomic/s13.png,complete
S14,상품 종이상자,상품·주방 소품,07,atomic/s14.png,complete
S15,음료 캔,상품·주방 소품,07,atomic/s15.png,complete
T01,화장실 칸막이,화장실,08,atomic/t01.png,complete
T02,화장실 칸 문짝,화장실,08,atomic/t02.png,complete
T03,양변기,화장실,08,atomic/t03.png,complete
T04,소변기,화장실,08,atomic/t04.png,complete
T05,소변기 가림판,화장실,08,atomic/t05.png,complete
T06,세면대 한 칸,화장실,08,atomic/t06.png,complete
T07,세면대 수전,화장실,08,atomic/t07.png,complete
T08,벽 거울,화장실,08,atomic/t08.png,complete
T09,화장실 안내판,화장실,07 / 08,atomic/t09.png,complete
G01,주유소 캐노피 지붕,주유소,09,atomic/g01.png,complete
G02,주유기,주유소,09,atomic/g02.png,complete
G03,주유기 받침 아일랜드,주유소,09,atomic/g03.png,complete
G04,노란 보호 볼라드,주유소,09,atomic/g04.png,complete
V01,흰색 크로스오버,차량,02 / 09 / 10,atomic/v01.png,complete
V02,빨간 소형차,차량,02 / 09 / 10,atomic/v02.png,complete
V03,초록 소형 SUV,차량,02 / 09 / 10,atomic/v03.png,complete
V04,배송 트럭,차량,02 / 09 / 10,atomic/v04.png,complete
V05,노란 박스 트럭,차량,02 / 09 / 10,atomic/v05.png,complete
V06,대형 버스,차량,02 / 09 / 10,atomic/v06.png,complete
